# GARAGE RAMP CONSTRUCTION MEASUREMENTS
# Ramp Length: 12.0m, Vertical Drop: 2.8m
# Cubic Spline Profile: y = ax³ + bx² where a=0.003240741, b=-0.058333333
#
Distance_m,Distance_cm,Depth_m,Depth_cm,Depth_mm,Slope_degrees,Formwork_Height_cm
0.000,0.0,0.0000,0.00,0.0,0.33,0.00
0.100,10.0,-0.0006,0.06,0.6,0.66,0.06
0.200,20.0,-0.0023,0.23,2.3,1.31,0.23
0.300,30.0,-0.0052,0.52,5.2,1.95,0.52
0.400,40.0,-0.0091,0.91,9.1,2.58,0.91
0.500,50.0,-0.0142,1.42,14.2,3.20,1.42
0.600,60.0,-0.0203,2.03,20.3,3.80,2.03
0.700,70.0,-0.0275,2.75,27.5,4.40,2.75
0.800,80.0,-0.0357,3.57,35.7,4.98,3.57
0.900,90.0,-0.0449,4.49,44.9,5.55,4.49
1.000,100.0,-0.0551,5.51,55.1,6.10,5.51
1.100,110.0,-0.0663,6.63,66.3,6.65,6.63
1.200,120.0,-0.0784,7.84,78.4,7.18,7.84
1.300,130.0,-0.0915,9.15,91.5,7.70,9.15
1.400,140.0,-0.1054,10.54,105.4,8.21,10.54
1.500,150.0,-0.1203,12.03,120.3,8.70,12.03
1.600,160.0,-0.1361,13.61,136.1,9.19,13.61
1.700,170.0,-0.1527,15.27,152.7,9.66,15.27
1.800,180.0,-0.1701,17.01,170.1,10.12,17.01
1.900,190.0,-0.1884,18.84,188.4,10.57,18.84
2.000,200.0,-0.2074,20.74,207.4,11.00,20.74
2.100,210.0,-0.2272,22.72,227.2,11.43,22.72
2.200,220.0,-0.2478,24.78,247.8,11.84,24.78
2.300,230.0,-0.2692,26.92,269.2,12.24,26.92
2.400,240.0,-0.2912,29.12,291.2,12.62,29.12
2.500,250.0,-0.3139,31.39,313.9,13.00,31.39
2.600,260.0,-0.3374,33.74,337.4,13.36,33.74
2.700,270.0,-0.3615,36.15,361.5,13.72,36.15
2.800,280.0,-0.3862,38.62,386.2,14.06,38.62
2.900,290.0,-0.4115,41.15,411.5,14.39,41.15
3.000,300.0,-0.4375,43.75,437.5,14.71,43.75
3.100,310.0,-0.4640,46.40,464.0,15.01,46.40
3.200,320.0,-0.4911,49.11,491.1,15.31,49.11
3.300,330.0,-0.5188,51.88,518.8,15.59,51.88
3.400,340.0,-0.5470,54.70,547.0,15.87,54.70
3.500,350.0,-0.5756,57.56,575.6,16.13,57.56
3.600,360.0,-0.6048,60.48,604.8,16.38,60.48
3.700,370.0,-0.6344,63.44,634.4,16.62,63.44
3.800,380.0,-0.6645,66.45,664.5,16.85,66.45
3.900,390.0,-0.6950,69.50,695.0,17.07,69.50
4.000,400.0,-0.7259,72.59,725.9,17.28,72.59
4.100,410.0,-0.7572,75.72,757.2,17.48,75.72
4.200,420.0,-0.7889,78.89,788.9,17.66,78.89
4.300,430.0,-0.8209,82.09,820.9,17.84,82.09
4.400,440.0,-0.8533,85.33,853.3,18.01,85.33
4.500,450.0,-0.8859,88.59,885.9,18.16,88.59
4.600,460.0,-0.9189,91.89,918.9,18.31,91.89
4.700,470.0,-0.9521,95.21,952.1,18.45,95.21
4.800,480.0,-0.9856,98.56,985.6,18.57,98.56
4.900,490.0,-1.0193,101.93,1019.3,18.69,101.93
5.000,500.0,-1.0532,105.32,1053.2,18.79,105.32
5.100,510.0,-1.0874,108.74,1087.4,18.89,108.74
5.200,520.0,-1.1217,112.17,1121.7,18.97,112.17
5.300,530.0,-1.1561,115.61,1156.1,19.04,115.61
5.400,540.0,-1.1907,119.07,1190.7,19.11,119.07
5.500,550.0,-1.2254,122.54,1225.4,19.16,122.54
5.600,560.0,-1.2602,126.02,1260.2,19.21,126.02
5.700,570.0,-1.2951,129.51,1295.1,19.24,129.51
5.800,580.0,-1.3300,133.00,1330.0,19.27,133.00
5.900,590.0,-1.3650,136.50,1365.0,19.28,136.50
6.000,600.0,-1.4000,140.00,1400.0,19.29,140.00
6.100,610.0,-1.4350,143.50,1435.0,19.28,143.50
6.200,620.0,-1.4700,147.00,1470.0,19.27,147.00
6.300,630.0,-1.5049,150.49,1504.9,19.24,150.49
6.400,640.0,-1.5398,153.98,1539.8,19.21,153.98
6.500,650.0,-1.5746,157.46,1574.6,19.16,157.46
6.600,660.0,-1.6093,160.93,1609.3,19.11,160.93
6.700,670.0,-1.6439,164.39,1643.9,19.04,164.39
6.800,680.0,-1.6783,167.83,1678.3,18.97,167.83
6.900,690.0,-1.7126,171.26,1712.6,18.89,171.26
7.000,700.0,-1.7468,174.68,1746.8,18.79,174.68
7.100,710.0,-1.7807,178.07,1780.7,18.69,178.07
7.200,720.0,-1.8144,181.44,1814.4,18.57,181.44
7.300,730.0,-1.8479,184.79,1847.9,18.45,184.79
7.400,740.0,-1.8811,188.11,1881.1,18.31,188.11
7.500,750.0,-1.9141,191.41,1914.1,18.16,191.41
7.600,760.0,-1.9467,194.67,1946.7,18.01,194.67
7.700,770.0,-1.9791,197.91,1979.1,17.84,197.91
7.800,780.0,-2.0111,201.11,2011.1,17.66,201.11
7.900,790.0,-2.0428,204.28,2042.8,17.48,204.28
8.000,800.0,-2.0741,207.41,2074.1,17.28,207.41
8.100,810.0,-2.1050,210.50,2105.0,17.07,210.50
8.200,820.0,-2.1355,213.55,2135.5,16.85,213.55
8.300,830.0,-2.1656,216.56,2165.6,16.62,216.56
8.400,840.0,-2.1952,219.52,2195.2,16.38,219.52
8.500,850.0,-2.2244,222.44,2224.4,16.13,222.44
8.600,860.0,-2.2530,225.30,2253.0,15.87,225.30
8.700,870.0,-2.2812,228.12,2281.2,15.59,228.12
8.800,880.0,-2.3089,230.89,2308.9,15.31,230.89
8.900,890.0,-2.3360,233.60,2336.0,15.01,233.60
9.000,900.0,-2.3625,236.25,2362.5,14.71,236.25
