Arc_Distance_m,Angle_deg,X_m,Y_m,Depth_m,Depth_cm,Slope_deg,Inner_X_m,Inner_Y_m,Outer_X_m,Outer_Y_m
0.000,0.00,7.5000,0.0000,0.0000,0.00,0.05,6.0683,0.0000,8.5969,0.0000
0.500,3.82,7.4833,0.4996,-0.0180,-1.80,4.11,6.0548,0.4043,8.5778,0.5727
1.000,7.64,7.4334,0.9970,-0.0717,-7.17,7.90,6.0145,0.8067,8.5206,1.1429
1.500,11.46,7.3505,1.4900,-0.1553,-15.53,11.19,5.9474,1.2056,8.4255,1.7079
2.000,15.28,7.2349,1.9764,-0.2696,-26.96,14.13,5.8538,1.5991,8.2930,2.2654
2.500,19.10,7.0872,2.4540,-0.4060,-40.60,16.59,5.7343,1.9855,8.1237,2.8129
3.000,22.92,6.9080,2.9206,-0.5637,-56.37,18.67,5.5893,2.3631,7.9182,3.3478
3.500,26.74,6.6980,3.3743,-0.7441,-74.41,20.42,5.4195,2.7302,7.6776,3.8678
4.000,30.56,6.4584,3.8130,-0.9356,-93.56,21.78,5.2255,3.0852,7.4029,4.3707
4.500,34.38,6.1900,4.2348,-1.1439,-114.39,22.83,5.0084,3.4264,7.0953,4.8542
5.000,38.20,5.8942,4.6378,-1.3562,-135.62,23.53,4.7690,3.7525,6.7562,5.3160
5.500,42.02,5.5721,5.0201,-1.5742,-157.42,23.92,4.5084,4.0618,6.3870,5.7543
6.000,45.84,5.2253,5.3802,-1.7999,-179.99,24.01,4.2278,4.3531,5.9895,6.1670
6.500,49.66,4.8553,5.7163,-2.0197,-201.97,23.79,3.9285,4.6251,5.5654,6.5523
7.000,53.48,4.4637,6.0271,-2.2407,-224.07,23.25,3.6116,4.8766,5.1165,6.9085
7.500,57.30,4.0523,6.3110,-2.4495,-244.95,22.41,3.2787,5.1063,4.6449,7.2340
8.000,61.12,3.6228,6.5670,-2.6481,-264.81,21.24,2.9313,5.3134,4.1527,7.5274
8.500,64.94,3.1773,6.7937,-2.8377,-283.77,19.70,2.5708,5.4969,3.6420,7.7873
9.000,68.75,2.7177,6.9903,-3.0063,-300.63,17.83,2.1989,5.6559,3.1151,8.0126
9.500,72.57,2.2460,7.1558,-3.1586,-315.86,15.53,1.8172,5.7898,2.5744,8.2023
10.000,76.39,1.7643,7.2895,-3.2843,-328.43,12.88,1.4275,5.8980,2.0223,8.3556
10.500,80.21,1.2748,7.3909,-3.3841,-338.41,9.83,1.0314,5.9800,1.4612,8.4718
11.000,84.03,0.7796,7.4594,-3.4562,-345.62,6.28,0.6308,6.0355,0.8936,8.5503
11.500,87.85,0.2809,7.4947,-3.4940,-349.40,2.39,0.2273,6.0641,0.3220,8.5908
