Distance_m,Elevation_m,Elevation_cm,Section
0.00,0.0000,0.0,Street
0.50,0.0000,0.0,Street
1.00,0.0000,0.0,Street
1.50,0.0000,0.0,Street
2.00,0.0000,0.0,Street
2.50,0.0000,0.0,Street
3.00,0.0000,0.0,Street
3.50,0.0000,0.0,Street
4.00,0.0000,0.0,Street
4.50,0.0000,0.0,Street
5.00,-0.0000,-0.0,Ramp
5.50,-0.0064,-0.6,Ramp
6.00,-0.0251,-2.5,Ramp
6.50,-0.0556,-5.6,Ramp
7.00,-0.0971,-9.7,Ramp
7.50,-0.1490,-14.9,Ramp
8.00,-0.2106,-21.1,Ramp
8.50,-0.2814,-28.1,Ramp
9.00,-0.3607,-36.1,Ramp
9.50,-0.4477,-44.8,Ramp
10.00,-0.5420,-54.2,Ramp
10.50,-0.6428,-64.3,Ramp
11.00,-0.7494,-74.9,Ramp
11.50,-0.8613,-86.1,Ramp
12.00,-0.9778,-97.8,Ramp
12.50,-1.0982,-109.8,Ramp
13.00,-1.2220,-122.2,Ramp
13.50,-1.3484,-134.8,Ramp
14.00,-1.4767,-147.7,Ramp
14.50,-1.6065,-160.6,Ramp
15.00,-1.7369,-173.7,Ramp
15.50,-1.8675,-186.7,Ramp
16.00,-1.9974,-199.7,Ramp
16.50,-2.1261,-212.6,Ramp
17.00,-2.2529,-225.3,Ramp
17.50,-2.3772,-237.7,Ramp
18.00,-2.4984,-249.8,Ramp
18.50,-2.6157,-261.6,Ramp
19.00,-2.7286,-272.9,Ramp
19.50,-2.8364,-283.6,Ramp
20.00,-2.9384,-293.8,Ramp
20.50,-3.0340,-303.4,Ramp
21.00,-3.1225,-312.3,Ramp
21.50,-3.2034,-320.3,Ramp
22.00,-3.2759,-327.6,Ramp
22.50,-3.3395,-333.9,Ramp
23.00,-3.3934,-339.3,Ramp
23.50,-3.4370,-343.7,Ramp
24.00,-3.4697,-347.0,Ramp
24.50,-3.4908,-349.1,Ramp
25.00,-3.4997,-350.0,Ramp
25.50,-3.5000,-350.0,Garage
26.00,-3.5000,-350.0,Garage
26.50,-3.5000,-350.0,Garage
27.00,-3.5000,-350.0,Garage
27.50,-3.5000,-350.0,Garage
28.00,-3.5000,-350.0,Garage
28.50,-3.5000,-350.0,Garage
29.00,-3.5000,-350.0,Garage
29.50,-3.5000,-350.0,Garage
30.00,-3.5000,-350.0,Garage
