Distance_m,Elevation_m,Elevation_cm,Slope_deg,Section
0.00,0.0000,0.0,-0.00,Street
0.50,0.0000,0.0,-0.00,Street
1.00,0.0000,0.0,-0.00,Street
1.50,0.0000,0.0,-0.00,Street
2.00,0.0000,0.0,-0.00,Street
2.50,0.0000,0.0,-0.00,Street
3.00,0.0000,0.0,-0.00,Street
3.50,0.0000,0.0,-0.00,Street
4.00,0.0000,0.0,-0.00,Street
4.50,0.0000,0.0,-0.00,Street
5.00,0.0000,0.0,0.01,Ramp
5.50,-0.0055,-0.6,1.23,Ramp
6.00,-0.0206,-2.1,2.35,Ramp
6.50,-0.0467,-4.7,3.47,Ramp
7.00,-0.0826,-8.3,4.54,Ramp
7.50,-0.1248,-12.5,5.48,Ramp
8.00,-0.1783,-17.8,6.43,Ramp
8.50,-0.2360,-23.6,7.26,Ramp
9.00,-0.3051,-30.5,8.09,Ramp
9.50,-0.3814,-38.1,8.85,Ramp
10.00,-0.4590,-45.9,9.51,Ramp
10.50,-0.5479,-54.8,10.16,Ramp
11.00,-0.6425,-64.2,10.75,Ramp
11.50,-0.7358,-73.6,11.24,Ramp
12.00,-0.8399,-84.0,11.71,Ramp
12.50,-0.9413,-94.1,12.10,Ramp
13.00,-1.0529,-105.3,12.46,Ramp
13.50,-1.1676,-116.8,12.77,Ramp
14.00,-1.2775,-127.7,13.00,Ramp
14.50,-1.3967,-139.7,13.19,Ramp
15.00,-1.5099,-151.0,13.32,Ramp
15.50,-1.6316,-163.2,13.40,Ramp
16.00,-1.7538,-175.4,13.43,Ramp
16.50,-1.8684,-186.8,13.40,Ramp
17.00,-1.9901,-199.0,13.32,Ramp
17.50,-2.1033,-210.3,13.19,Ramp
18.00,-2.2225,-222.3,13.00,Ramp
18.50,-2.3397,-234.0,12.75,Ramp
19.00,-2.4471,-244.7,12.46,Ramp
19.50,-2.5587,-255.9,12.10,Ramp
20.00,-2.6667,-266.7,11.69,Ramp
20.50,-2.7642,-276.4,11.24,Ramp
21.00,-2.8636,-286.4,10.71,Ramp
21.50,-2.9521,-295.2,10.16,Ramp
22.00,-3.0410,-304.1,9.51,Ramp
22.50,-3.1236,-312.4,8.80,Ramp
23.00,-3.1949,-319.5,8.09,Ramp
23.50,-3.2640,-326.4,7.26,Ramp
24.00,-3.3217,-332.2,6.43,Ramp
24.50,-3.3752,-337.5,5.48,Ramp
25.00,-3.4199,-342.0,4.48,Ramp
25.50,-3.4533,-345.3,3.47,Ramp
26.00,-3.4794,-347.9,2.35,Ramp
26.50,-3.4952,-349.5,1.16,Ramp
27.00,-3.5000,-350.0,0.01,Garage
27.50,-3.5000,-350.0,-0.00,Garage
28.00,-3.5000,-350.0,-0.00,Garage
28.50,-3.5000,-350.0,-0.00,Garage
29.00,-3.5000,-350.0,-0.00,Garage
29.50,-3.5000,-350.0,-0.00,Garage
30.00,-3.5000,-350.0,-0.00,Garage
30.50,-3.5000,-350.0,-0.00,Garage
31.00,-3.5000,-350.0,-0.00,Garage
31.50,-3.5000,-350.0,-0.00,Garage
