Arc_Distance_m,Angle_deg,X_m,Y_m,Depth_m,Depth_cm,Slope_deg,Inner_X_m,Inner_Y_m,Outer_X_m,Outer_Y_m
0.000,0.00,9.0000,0.0000,0.0000,0.00,0.03,7.2500,0.0000,10.7500,0.0000
0.085,0.54,8.9996,0.0849,-0.0003,-0.03,0.41,7.2497,0.0684,10.7495,0.1014
0.170,1.08,8.9984,0.1698,-0.0012,-0.12,0.81,7.2487,0.1368,10.7481,0.2028
0.255,1.62,8.9964,0.2547,-0.0027,-0.27,1.20,7.2471,0.2052,10.7457,0.3042
0.340,2.16,8.9936,0.3396,-0.0048,-0.48,1.60,7.2448,0.2735,10.7423,0.4056
0.425,2.70,8.9900,0.4244,-0.0074,-0.74,1.98,7.2419,0.3419,10.7380,0.5069
0.509,3.24,8.9856,0.5092,-0.0106,-1.06,2.36,7.2384,0.4102,10.7328,0.6082
0.594,3.78,8.9804,0.5939,-0.0144,-1.44,2.74,7.2342,0.4784,10.7266,0.7094
0.679,4.32,8.9744,0.6786,-0.0188,-1.88,3.11,7.2294,0.5467,10.7194,0.8106
0.764,4.86,8.9676,0.7633,-0.0237,-2.37,3.48,7.2239,0.6148,10.7113,0.9117
0.849,5.41,8.9600,0.8478,-0.0291,-2.91,3.84,7.2178,0.6830,10.7022,1.0127
0.934,5.95,8.9516,0.9323,-0.0350,-3.50,4.19,7.2110,0.7510,10.6922,1.1136
1.019,6.49,8.9424,1.0167,-0.0415,-4.15,4.54,7.2036,0.8190,10.6812,1.2144
1.104,7.03,8.9324,1.1010,-0.0485,-4.85,4.89,7.1955,0.8869,10.6693,1.3151
1.189,7.57,8.9216,1.1853,-0.0561,-5.61,5.23,7.1869,0.9548,10.6564,1.4157
1.274,8.11,8.9100,1.2694,-0.0641,-6.41,5.56,7.1775,1.0225,10.6425,1.5162
1.359,8.65,8.8977,1.3534,-0.0726,-7.26,5.89,7.1676,1.0902,10.6278,1.6165
1.443,9.19,8.8845,1.4373,-0.0816,-8.16,6.22,7.1570,1.1578,10.6120,1.7167
1.528,9.73,8.8705,1.5210,-0.0911,-9.11,6.54,7.1457,1.2253,10.5954,1.8168
1.613,10.27,8.8558,1.6046,-0.1011,-10.11,6.85,7.1338,1.2926,10.5778,1.9166
1.698,10.81,8.8403,1.6881,-0.1115,-11.15,7.16,7.1213,1.3599,10.5592,2.0163
1.783,11.35,8.8239,1.7714,-0.1224,-12.24,7.46,7.1082,1.4270,10.5397,2.1159
1.868,11.89,8.8068,1.8546,-0.1337,-13.37,7.76,7.0944,1.4940,10.5193,2.2152
1.953,12.43,8.7890,1.9376,-0.1455,-14.55,8.05,7.0800,1.5608,10.4979,2.3143
2.038,12.97,8.7703,2.0204,-0.1578,-15.78,8.34,7.0650,1.6276,10.4756,2.4133
2.123,13.51,8.7508,2.1031,-0.1704,-17.04,8.62,7.0493,1.6941,10.4524,2.5120
